"","ticker","tradeDate","clsPx","hiPx","loPx","open","stockVolume","unadjClsPx","unadjHiPx","unadjLoPx","unadjOpen","unadjStockVolume","updatedAt"
"1","SPX",2006-01-03,1268.8,1270.22,1245.74,1248.29,0,1268.8,1270.22,1245.74,1248.29,0,"2020-09-26T01:40:49Z"
"2","SPX",2006-01-04,1273.46,1275.37,1267.74,1268.8,0,1273.46,1275.37,1267.74,1268.8,0,"2020-09-26T01:40:49Z"
"3","SPX",2006-01-05,1273.48,1276.91,1270.3,1273.46,0,1273.48,1276.91,1270.3,1273.46,0,"2020-09-26T01:40:49Z"
"4","SPX",2006-01-06,1285.45,1286.09,1273.48,1273.48,0,1285.45,1286.09,1273.48,1273.48,0,"2020-09-26T01:40:49Z"
"5","SPX",2006-01-09,1290.15,1290.78,1284.82,1285.45,0,1290.15,1290.78,1284.82,1285.45,0,"2020-09-26T01:40:49Z"
"6","SPX",2006-01-10,1289.69,1290.15,1283.76,1290.15,0,1289.69,1290.15,1283.76,1290.15,0,"2020-09-26T01:40:49Z"
"7","SPX",2006-01-11,1294.18,1294.9,1288.12,1289.72,0,1294.18,1294.9,1288.12,1289.72,0,"2020-09-26T01:40:49Z"
"8","SPX",2006-01-12,1286.06,1294.18,1285.04,1294.18,0,1286.06,1294.18,1285.04,1294.18,0,"2020-09-26T01:40:49Z"
"9","SPX",2006-01-13,1287.61,1288.96,1282.78,1286.06,0,1287.61,1288.96,1282.78,1286.06,0,"2020-09-26T01:40:49Z"
"10","SPX",2006-01-17,1283.03,1287.61,1278.61,1287.61,0,1283.03,1287.61,1278.61,1287.61,0,"2020-09-26T01:40:49Z"
"11","SPX",2006-01-18,1277.93,1282.93,1272.08,1282.93,0,1277.93,1282.93,1272.08,1282.93,0,"2020-09-26T01:40:49Z"
"12","SPX",2006-01-19,1285.04,1287.79,1277.93,1277.93,0,1285.04,1287.79,1277.93,1277.93,0,"2020-09-26T01:40:49Z"
"13","SPX",2006-01-20,1261.49,1285.04,1260.92,1285.04,0,1261.49,1285.04,1260.92,1285.04,0,"2020-09-26T01:40:49Z"
"14","SPX",2006-01-23,1263.82,1268.19,1261.49,1261.49,0,1263.82,1268.19,1261.49,1261.49,0,"2020-09-26T01:40:49Z"
"15","SPX",2006-01-24,1266.86,1271.47,1263.82,1263.82,0,1266.86,1271.47,1263.82,1263.82,0,"2020-09-26T01:40:49Z"
"16","SPX",2006-01-25,1264.68,1271.87,1259.42,1266.86,0,1264.68,1271.87,1259.42,1266.86,0,"2020-09-26T01:40:49Z"
"17","SPX",2006-01-26,1273.83,1276.44,1264.68,1264.68,0,1273.83,1276.44,1264.68,1264.68,0,"2020-09-26T01:40:49Z"
"18","SPX",2006-01-27,1283.72,1286.38,1273.83,1273.83,0,1283.72,1286.38,1273.83,1273.83,0,"2020-09-26T01:40:49Z"
"19","SPX",2006-01-30,1285.19,1287.94,1283.51,1283.72,0,1285.19,1287.94,1283.51,1283.72,0,"2020-09-26T01:40:49Z"
"20","SPX",2006-01-31,1280.08,1285.2,1276.85,1285.2,0,1280.08,1285.2,1276.85,1285.2,0,"2020-09-26T01:40:49Z"
